,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
330,2/6/2013,Open,Vacant,False,False,60615.0,41.80407564,-87.60425593
331,2/6/2013,Open,Vacant,False,True,60609.0,41.79748846,-87.66346255
332,2/6/2013,Open,Vacant,False,True,60624.0,41.88189723,-87.73821207
333,2/6/2013,Open,Vacant,False,True,60624.0,41.88188875,-87.7389598
334,2/6/2013,Open,Vacant,True,True,60624.0,41.88639675,-87.70790536
335,2/6/2013,Open,Vacant,False,False,60636.0,41.78460769,-87.65583692
336,2/6/2013,Open,Vacant,False,True,60639.0,41.91931228,-87.76091314
337,2/6/2013,Open,Vacant,False,False,60632.0,41.79322643,-87.7215897
338,2/6/2013,Open,Vacant,True,True,60623.0,41.86026744,-87.71524487
339,2/7/2013,Open,Vacant,False,False,60653.0,41.81205375,-87.62290968
340,2/7/2013,Open,Vacant,False,False,60609.0,41.79867102,-87.66835689
341,2/7/2013,Open,Vacant,False,False,60609.0,41.79745168,-87.66346183
342,2/7/2013,Open,Vacant,False,True,60624.0,41.88534041,-87.73867242
343,2/7/2013,Boarded,Vacant,False,False,60641.0,41.93813519,-87.73059901
344,2/7/2013,Open,Vacant,False,False,60634.0,41.93941054,-87.78610008
345,2/7/2013,Open,Vacant,False,False,60609.0,41.80290449,-87.65509599
346,2/7/2013,Open,Vacant,False,False,60644.0,41.89318941,-87.74415526
347,2/7/2013,Open,Vacant,False,True,60623.0,41.86537881,-87.70807384
348,2/7/2013,Boarded,Vacant,False,True,60647.0,41.91309779,-87.68973492
