SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,14-00323862,3/7/2014,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,FALSE,TRUE,5703,S,LAFAYETTE,AVE,60621,1176951.268,1867183.202,3,2,40,41.79089107,-87.62669554,"(41.79089106784332, -87.62669553863479)"
Vacant/Abandoned Building,14-00312833,3/5/2014,Garage,,Open,,Vacant,FALSE,TRUE,6648,S,MICHIGAN,AVE,60637,1178082.982,1860952.237,20,3,69,41.77376707,-87.62273465,"(41.773767070596634, -87.62273465140925)"
Vacant/Abandoned Building,14-00318430,3/6/2014,Front,,Open,FRONT,Vacant,FALSE,FALSE,1053,W,111TH,ST,60643,1171278.567,1831202.833,34,22,75,41.69228212,-87.6485458,"(41.692282124578256, -87.64854579675945)"
Vacant/Abandoned Building,14-00244295,2/20/2014,Front,,Open,,Vacant,FALSE,FALSE,528,E,45TH,ST,60653,1180643.29,1875297.281,3,2,38,41.81307273,-87.6129085,"(41.813072729935875, -87.61290850263795)"
Vacant/Abandoned Building,14-00253615,2/22/2014,Front,,Open,FRONT DOOR OPEN,Vacant,FALSE,FALSE,720,E,50TH,ST,60615,1181905.45,1872019.191,4,2,38,41.80404826,-87.60838033,"(41.80404826001608, -87.60838033433107)"
Vacant/Abandoned Building,13-01911695,12/31/2013,Front,,Open,BASEMENT UNIT,Vacant,FALSE,TRUE,5300,S,DREXEL,AVE,60615,1183142.836,1870061.08,5,2,41,41.79864631,-87.60390319,"(41.79864631469491, -87.60390319487219)"
Vacant/Abandoned Building,13-01789024,12/1/2013,Front,,Open,FRONT/REAR,Vacant,TRUE,FALSE,3259,W,CRYSTAL,ST,60651,1154405.108,1908133.76,26,14,23,41.90374302,-87.7082746,"(41.90374301940611, -87.70827460476988)"
Vacant/Abandoned Building,13-01645360,11/2/2013,Front,,Open,SIDE--BASEMENT WINDOW,Vacant,FALSE,FALSE,1924,N,DRAKE,AVE,60647,1152508.729,1912662.211,26,14,22,41.91620721,-87.7151206,"(41.91620720900671, -87.71512060052001)"
Vacant/Abandoned Building,13-01491694,10/7/2013,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,4906,W,WEST END,AVE,60644,1143628.287,1900534.118,28,15,25,41.88309738,-87.74805123,"(41.88309737547065, -87.74805123273738)"
Vacant/Abandoned Building,13-01208209,8/23/2013,Front,,Open,FRONT,Vacant,FALSE,TRUE,3539,N,KOSTNER,AVE,60641,1146427.429,1923164.66,30,17,16,41.94514502,-87.73719491,"(41.94514501931025, -87.73719491405355)"
Vacant/Abandoned Building,13-01000267,7/22/2013,Front,,Boarded,FRONT,Vacant,FALSE,TRUE,339,S,CHRISTIANA,AVE,60624,1154105.383,1898083.906,28,11,27,41.87617122,-87.7096439,"(41.87617122043381, -87.70964389534453)"
Vacant/Abandoned Building,13-00748472,6/13/2013,Front,,Open,REAR IS OPEN,Vacant,FALSE,TRUE,2230,N,KEYSTONE,AVE,60639,1149017.623,1914516.632,31,25,20,41.92136425,-87.72789876,"(41.92136425124722, -87.72789875530349)"
Vacant/Abandoned Building,13-00474734,4/23/2013,Garage,,Open,GARAGE,Vacant,FALSE,TRUE,4951,W,MEDILL,AVE,60639,1142997.679,1915177.6,31,25,19,41.92329251,-87.75000124,"(41.92329251373868, -87.7500012413273)"
Vacant/Abandoned Building,14-00500216,4/8/2014,Front,,Open,,Vacant,TRUE,FALSE,6545,S,HERMITAGE,AVE,60636,1165794.529,1861287.919,15,7,67,41.77495802,-87.66777201,"(41.774958021090775, -87.66777201004038)"
Vacant/Abandoned Building,14-00496600,4/7/2014,Front,,Open,,Vacant,FALSE,FALSE,12135,S,ADA,ST,60643,1169530.167,1824161.93,34,5,53,41.67299867,-87.65514988,"(41.67299867092872, -87.65514987806353)"
Vacant/Abandoned Building,14-00482178,4/4/2014,Front,,Open,,Vacant,TRUE,FALSE,12218,S,WALLACE,ST,60628,1174516.518,1823865.797,34,5,53,41.67207689,-87.63690831,"(41.67207689462405, -87.6369083122809)"
Vacant/Abandoned Building,14-00460049,3/31/2014,Front,,Open,FRONT DOOR OPEN,Vacant,FALSE,TRUE,2014,W,71ST,ST,60636,1164101.987,1857574.256,17,7,67,41.764803,-87.674081,"(41.76480299977397, -87.67408099704804)"
Vacant/Abandoned Building,14-00460213,4/1/2014,Front,,Boarded,,Vacant,FALSE,FALSE,6301,S,WESTERN,AVE,60636,1161454.866,1862799.802,15,8,66,41.7791979,-87.6836388,"(41.77919789975881, -87.68363880021742)"
Vacant/Abandoned Building,14-00462880,4/1/2014,Front,,Boarded,,Vacant,FALSE,FALSE,6247,N,BROADWAY,,60660,1167166.866,1941638.739,49,24,77,41.99541739,-87.6604315,"(41.99541739452298, -87.66043149799768)"
Vacant/Abandoned Building,14-00464540,4/1/2014,Front,,Open,,Vacant,FALSE,FALSE,5236,S,NATOMA,AVE,60638,1132934.101,1869128.398,23,8,56,41.79710847,-87.78805367,"(41.79710847203888, -87.78805367157902)"
Vacant/Abandoned Building,14-00448507,3/29/2014,Front,,Open,,Vacant,FALSE,FALSE,12040,S,STEWART,AVE,60628,1175793.35,1825079.061,34,5,53,41.67537787,-87.63219898,"(41.675377871580814, -87.63219898120524)"
Vacant/Abandoned Building,14-00390516,3/19/2014,Front,,Open,REAR,Vacant,FALSE,TRUE,12137,S,WALLACE,ST,60628,1174499.007,1824407.257,34,5,53,41.67356314,-87.63695639,"(41.67356313512577, -87.63695638811217)"
Vacant/Abandoned Building,14-00395496,3/19/2014,Front,,Boarded,,Vacant,TRUE,FALSE,5820,N,SHERIDAN,RD,60660,1168580.182,1938848.695,48,20,77,41.98773087,-87.6553139,"(41.98773086601733, -87.65531389746955)"
Vacant/Abandoned Building,14-00399284,3/20/2014,Front,,Open,BROKEN GLASS WINDOWS. OPEN DOOR,Vacant,FALSE,TRUE,6730,S,MAPLEWOOD,AVE,60629,1160533.229,1859951.632,15,8,66,41.77140118,-87.6870961,"(41.771401177191095, -87.68709609713886)"
Vacant/Abandoned Building,14-00338846,3/10/2014,Front,,Open,,Vacant,FALSE,TRUE,6842,S,PRAIRIE,AVE,60637,1179220.933,1859707.332,20,3,69,41.77032504,-87.61860112,"(41.77032504430991, -87.61860111804266)"
Vacant/Abandoned Building,14-00338879,3/10/2014,Front,,Open,,Vacant,FALSE,TRUE,1308,E,70TH,ST,60637,1185933.27,1858848.655,5,3,69,41.76781305,-87.59402376,"(41.767813053690354, -87.59402376093192)"
Vacant/Abandoned Building,14-00344232,3/11/2014,Rear,,Open,,Vacant,,FALSE,7351,S,UNIVERSITY,AVE,60619,1185154.45,1856498.191,5,3,69,41.76138149,-87.59695221,"(41.76138149432066, -87.59695220893485)"
Vacant/Abandoned Building,14-00351897,3/12/2014,Front,,Open,UNSECURE ALL OVER,Vacant,FALSE,TRUE,12038,S,MICHIGAN,AVE,60628,1179010.473,1825027.938,9,5,53,41.67516514,-87.62042529,"(41.675165143107364, -87.62042528843544)"
Vacant/Abandoned Building,14-00360890,3/13/2014,Garage,,Open,GARAGE FALLING IN,Vacant,FALSE,FALSE,7011,S,LAFLIN,ST,60636,1167546.424,1858242.201,17,7,67,41.76656279,-87.66143703,"(41.766562792308996, -87.66143702726734)"
Vacant/Abandoned Building,14-00284217,2/27/2014,Front,,Boarded,,Vacant,FALSE,FALSE,2923,N,SACRAMENTO,AVE,60618,1155872.971,1919284.014,35,14,21,41.93431074,-87.70258153,"(41.934310738352096, -87.70258153374259)"
Vacant/Abandoned Building,14-00300974,3/3/2014,Front,,Open,"SIDE WINDOW IS OPEN, SIDE DOOR IS OPEN.",Vacant,FALSE,FALSE,10857,S,WALLACE,ST,60628,1174235.874,1832883.428,34,22,49,41.69682891,-87.63766896,"(41.69682890824904, -87.63766896225656)"
Vacant/Abandoned Building,14-00319140,3/6/2014,Front,,Open,FRONT,Vacant,FALSE,FALSE,2146,E,71ST,ST,60649,1191841.784,1858280.482,5,3,43,41.76611254,-87.57238518,"(41.7661125367305, -87.57238518418251)"
Vacant/Abandoned Building,14-00220609,2/17/2014,Front,,Open,NONE,Vacant,FALSE,FALSE,2106,E,73RD,ST,60649,1191549.6,1856977.902,5,3,43,41.76254524,-87.5734983,"(41.762545243581584, -87.57349829932875)"
